"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
1.25964665530305e-20,0.902047704285927,0.319,0.104,1.61990559871973e-17,"Cluster 1","Crym"
4.30185279042873e-19,0.988287397181482,0.326,0.122,5.53218268849135e-16,"Cluster 1","Foxp2"
1.14160230278567e-17,0.734222707247105,0.655,0.452,1.46810056138237e-14,"Cluster 1","Slc17a7"
1.69721472170224e-17,0.656997830630537,0.469,0.23,2.18261813210907e-14,"Cluster 1","Hs3st2"
2.82605885078767e-16,0.703696812669579,0.254,0.083,3.63431168211294e-13,"Cluster 1","Hs3st4"
1.33427751844732e-15,0.879004539517868,0.515,0.324,1.71588088872325e-12,"Cluster 1","Nptx1"
2.03122278563359e-12,0.651904859568756,0.531,0.353,2.6121525023248e-09,"Cluster 1","Sv2b"
8.8573366422602e-12,0.506048434531531,0.736,0.578,1.13905349219466e-08,"Cluster 1","Rasgrp1"
2.22981196510922e-10,0.54477629493768,0.407,0.23,2.86753818713045e-07,"Cluster 1","Ipcef1"
9.08502675027713e-10,0.381055877621584,0.502,0.303,1.16833444008564e-06,"Cluster 1","Nrn1"
4.84492419302814e-08,0.531645236586361,0.577,0.455,6.23057251223418e-05,"Cluster 1","Diras2"
6.44455095841969e-08,0.457141856730566,0.664,0.559,8.28769253252773e-05,"Cluster 1","Ngef"
1.21539286455049e-07,0.47545390824567,0.586,0.444,0.000156299522381193,"Cluster 1","Ptk2b"
1.3899714825159e-07,0.513911209650037,0.515,0.375,0.000178750332651544,"Cluster 1","Ldb2"
1.75819478631735e-07,0.372291778293872,0.782,0.733,0.000226103849520411,"Cluster 1","Nrgn"
1.83429988307003e-07,0.362414089306808,0.687,0.546,0.000235890964962806,"Cluster 1","Nefl"
2.75957869029114e-07,0.435729934827815,0.697,0.6,0.00035488181957144,"Cluster 1","Ctxn1"
1.47365209116984e-06,0.51721000535539,0.326,0.205,0.00189511658924442,"Cluster 1","Cadps2"
4.20428680782952e-06,0.385689069357422,0.674,0.588,0.00540671283486876,"Cluster 1","Snca"
7.59132447072566e-06,0.459062590778068,0.303,0.19,0.0097624432693532,"Cluster 1","Zfpm2"
8.81680158323708e-06,0.449412011659532,0.45,0.339,0.0113384068360429,"Cluster 1","Grm3"
1.33804619117029e-05,0.363616088244955,0.58,0.461,0.01720727401845,"Cluster 1","Rap1gap2"
2.18692103414e-05,0.466709689724151,0.498,0.402,0.0281238044990404,"Cluster 1","Tle4"
2.44701624154647e-05,0.357129583756477,0.375,0.257,0.0314686288662877,"Cluster 1","Satb2"
2.50222892744382e-05,0.33591185496922,0.814,0.81,0.0321786640069275,"Cluster 1","Arpp19"
0.00014905736014201,0.289551287280399,0.713,0.643,0.191687765142625,"Cluster 1","Arpp21"
0.000176314562474674,0.394997987865229,0.57,0.487,0.226740527342431,"Cluster 1","Ano3"
0.000183476979546655,0.374746859364561,0.518,0.43,0.235951395696998,"Cluster 1","Dkk3"
0.000266800625179779,0.347740640359421,0.355,0.255,0.343105603981196,"Cluster 1","Ppfibp1"
0.000279213918545968,0.422951755313597,0.544,0.492,0.359069099250115,"Cluster 1","Pde1a"
0.000956453107191663,0.267275894805287,0.414,0.323,1,"Cluster 1","Dpy19l1"
0.00152073854861117,0.397234784546991,0.316,0.238,1,"Cluster 1","Grm8"
0.00192626041180724,0.342900795984059,0.528,0.481,1,"Cluster 1","Lmo3"
0.00199456755956063,0.311594094696066,0.329,0.249,1,"Cluster 1","Meis2"
0.00408301219043556,0.267779485331537,0.261,0.186,1,"Cluster 1","Sema5b"
0.00570963541330916,0.330848162134711,0.388,0.317,1,"Cluster 1","Khdrbs2"
0.00576408081190203,0.285065692471773,0.668,0.669,1,"Cluster 1","Baiap2"
0.00667465186117012,0.285924602584763,0.723,0.74,1,"Cluster 1","Pcsk2"
2.88071803752931e-95,1.38794130921484,0.917,0.229,3.70460339626269e-92,"Cluster 2","Nrn1"
9.06581124237475e-88,1.41582983306933,0.817,0.17,1.16586332576939e-84,"Cluster 2","Ptprk"
2.6539128611753e-87,1.36667041424622,0.959,0.275,3.41293193947143e-84,"Cluster 2","Sv2b"
8.09902807858408e-85,1.20915292441441,0.817,0.171,1.04153501090591e-81,"Cluster 2","Satb2"
1.11319528121896e-77,1.2443987112151,0.982,0.398,1.43156913164758e-74,"Cluster 2","Slc17a7"
6.62236287118635e-77,1.21124147850411,0.995,0.587,8.51635865234565e-74,"Cluster 2","Arpp21"
9.2556595890924e-77,1.28793600842868,0.954,0.376,1.19027782315728e-73,"Cluster 2","Ptk2b"
9.61218189858577e-73,1.25929171973314,0.908,0.324,1.23612659215813e-69,"Cluster 2","Lingo1"
1.11213595035026e-69,1.09683398402866,0.83,0.226,1.43020683215044e-66,"Cluster 2","Khdrbs2"
3.26046117677632e-67,1.01296559407962,0.972,0.352,4.19295307333435e-64,"Cluster 2","Cacna2d1"
2.8513095740809e-65,1.20818622005476,0.775,0.223,3.66678411226804e-62,"Cluster 2","Pdzrn3"
9.53453151936307e-64,1.09161991182295,0.968,0.648,1.22614075339009e-60,"Cluster 2","Arhgap32"
4.54171224704061e-61,0.829505826732389,0.991,0.91,5.84064194969423e-58,"Cluster 2","R3hdm1"
6.44373047927757e-61,0.992620186594258,0.986,0.599,8.28663739635095e-58,"Cluster 2","Baiap2"
1.04428810718281e-59,1.25286965408527,0.482,0.068,1.34295450583709e-56,"Cluster 2","Robo3"
3.91263752118235e-59,1.15776088876152,0.794,0.265,5.03165185224051e-56,"Cluster 2","Mlip"
4.96746687724691e-55,0.963558067293806,0.982,0.538,6.38816240413953e-52,"Cluster 2","Rasgrp1"
6.6244306753324e-54,0.956343737039598,0.954,0.51,8.51901784847746e-51,"Cluster 2","Foxp1"
5.71049122492879e-53,1.01272022814709,0.927,0.455,7.34369171525842e-50,"Cluster 2","Epha4"
1.05871240882059e-52,0.930296339231016,0.775,0.261,1.36150415774328e-49,"Cluster 2","Sgcz"
5.2443793693893e-52,0.930966264224784,0.67,0.176,6.74427186903464e-49,"Cluster 2","Nwd2"
3.12415173657253e-51,0.826135040957813,0.789,0.26,4.01765913323227e-48,"Cluster 2","Slit3"
2.53283663046263e-48,0.97595172754521,0.936,0.544,3.25722790677494e-45,"Cluster 2","Stx1a"
3.81260040026965e-48,0.957685107848224,0.885,0.451,4.90300411474678e-45,"Cluster 2","Pex5l"
3.22162301617286e-47,0.893997831714994,0.977,0.694,4.1430071987983e-44,"Cluster 2","Nrgn"
5.68266580226439e-47,0.762798246459325,0.991,0.887,7.307908221712e-44,"Cluster 2","Kalrn"
1.96124918102291e-46,0.846394825739337,0.959,0.642,2.52216644679546e-43,"Cluster 2","Cnksr2"
